1.00,0.92,0.89,0.82,0.73,0.66,0.69,0.78,0.25,-0.02,-0.19,-0.15
0.92,1.00,0.86,0.89,0.89,0.83,0.56,0.69,0.32,0.23,-0.06,-0.07
0.89,0.86,1.00,0.89,0.76,0.73,0.75,0.73,0.38,0.20,-0.15,-0.19
0.82,0.89,0.89,1.00,0.94,0.79,0.48,0.52,0.40,0.31,-0.16,-0.16
0.73,0.89,0.76,0.94,1.00,0.88,0.27,0.45,0.48,0.52,0.10,0.11
0.66,0.83,0.73,0.79,0.88,1.00,0.43,0.53,0.34,0.66,0.32,0.19
0.69,0.56,0.75,0.48,0.27,0.43,1.00,0.77,-0.03,-0.21,-0.39,-0.52
0.78,0.69,0.73,0.52,0.45,0.53,0.77,1.00,0.48,-0.10,-0.16,-0.13
0.25,0.32,0.38,0.40,0.48,0.34,-0.03,0.48,1.00,0.35,0.20,0.37
-0.02,0.23,0.20,0.31,0.52,0.66,-0.21,-0.10,0.35,1.00,0.79,0.64
-0.19,-0.06,-0.15,-0.16,0.10,0.32,-0.39,-0.16,0.20,0.79,1.00,0.93
-0.15,-0.07,-0.19,-0.16,0.11,0.19,-0.52,-0.13,0.37,0.64,0.93,1.00
