1.00,0.97,0.90,0.96,0.78,0.50,0.66,0.74,0.66,0.76,0.72,0.62
0.97,1.00,0.91,0.90,0.64,0.45,0.68,0.77,0.64,0.79,0.76,0.67
0.90,0.91,1.00,0.89,0.52,0.19,0.47,0.76,0.66,0.68,0.61,0.62
0.96,0.90,0.89,1.00,0.83,0.42,0.55,0.66,0.66,0.74,0.70,0.63
0.78,0.64,0.52,0.83,1.00,0.62,0.50,0.43,0.56,0.57,0.60,0.39
0.50,0.45,0.19,0.42,0.62,1.00,0.88,0.62,0.57,0.64,0.45,0.31
0.66,0.68,0.47,0.55,0.50,0.88,1.00,0.78,0.74,0.88,0.67,0.64
0.74,0.77,0.76,0.66,0.43,0.62,0.78,1.00,0.76,0.71,0.48,0.41
0.66,0.64,0.66,0.66,0.56,0.57,0.74,0.76,1.00,0.84,0.76,0.69
0.76,0.79,0.68,0.74,0.57,0.64,0.88,0.71,0.84,1.00,0.87,0.90
0.72,0.76,0.61,0.70,0.60,0.45,0.67,0.48,0.76,0.87,1.00,0.87
0.62,0.67,0.62,0.63,0.39,0.31,0.64,0.41,0.69,0.90,0.87,1.00
