1.00,0.94,0.88,0.83,0.72,0.51,0.05,0.29,0.25,-0.24,-0.32,-0.23
0.94,1.00,0.85,0.69,0.58,0.45,0.09,0.28,0.20,-0.13,-0.23,-0.14
0.88,0.85,1.00,0.86,0.73,0.56,0.03,0.14,0.22,-0.23,-0.07,0.14
0.83,0.69,0.86,1.00,0.87,0.60,-0.07,0.04,0.03,-0.32,-0.10,0.06
0.72,0.58,0.73,0.87,1.00,0.90,0.18,0.31,0.37,0.06,0.10,0.25
0.51,0.45,0.56,0.60,0.90,1.00,0.42,0.49,0.59,0.43,0.35,0.46
0.05,0.09,0.03,-0.07,0.18,0.42,1.00,0.92,0.73,0.42,0.02,0.14
0.29,0.28,0.14,0.04,0.31,0.49,0.92,1.00,0.86,0.35,-0.18,-0.10
0.25,0.20,0.22,0.03,0.37,0.59,0.73,0.86,1.00,0.51,0.09,0.03
-0.24,-0.13,-0.23,-0.32,0.06,0.43,0.42,0.35,0.51,1.00,0.76,0.31
-0.32,-0.23,-0.07,-0.10,0.10,0.35,0.02,-0.18,0.09,0.76,1.00,0.60
-0.23,-0.14,0.14,0.06,0.25,0.46,0.14,-0.10,0.03,0.31,0.60,1.00
