1.00,0.88,0.77,0.60,0.43,-0.26,-0.22,-0.23,-0.23,-0.28,-0.38,-0.63
0.88,1.00,0.60,0.41,0.33,-0.00,-0.17,-0.21,-0.20,-0.26,-0.22,-0.42
0.77,0.60,1.00,0.92,0.84,-0.43,-0.58,-0.59,-0.56,-0.72,-0.77,-0.80
0.60,0.41,0.92,1.00,0.82,-0.32,-0.62,-0.54,-0.42,-0.68,-0.81,-0.75
0.43,0.33,0.84,0.82,1.00,-0.10,-0.34,-0.37,-0.44,-0.60,-0.63,-0.47
-0.26,-0.00,-0.43,-0.32,-0.10,1.00,0.69,0.68,0.55,0.55,0.46,0.60
-0.22,-0.17,-0.58,-0.62,-0.34,0.69,1.00,0.96,0.72,0.91,0.80,0.74
-0.23,-0.21,-0.59,-0.54,-0.37,0.68,0.96,1.00,0.89,0.96,0.84,0.79
-0.23,-0.20,-0.56,-0.42,-0.44,0.55,0.72,0.89,1.00,0.89,0.81,0.76
-0.28,-0.26,-0.72,-0.68,-0.60,0.55,0.91,0.96,0.89,1.00,0.90,0.79
-0.38,-0.22,-0.77,-0.81,-0.63,0.46,0.80,0.84,0.81,0.90,1.00,0.91
-0.63,-0.42,-0.80,-0.75,-0.47,0.60,0.74,0.79,0.76,0.79,0.91,1.00
