1.00,0.75,0.66,0.60,0.38,0.36,0.55,0.31,0.13,-0.04,-0.09,-0.27
0.75,1.00,0.89,0.88,-0.00,-0.15,0.00,0.03,0.06,-0.33,-0.42,-0.53
0.66,0.89,1.00,0.64,-0.14,-0.24,-0.05,-0.19,-0.35,-0.67,-0.68,-0.78
0.60,0.88,0.64,1.00,0.06,-0.20,-0.05,0.05,0.44,-0.04,-0.21,-0.28
0.38,-0.00,-0.14,0.06,1.00,0.92,0.49,0.83,0.54,0.66,0.55,0.39
0.36,-0.15,-0.24,-0.20,0.92,1.00,0.66,0.86,0.37,0.62,0.57,0.42
0.55,0.00,-0.05,-0.05,0.49,0.66,1.00,0.59,0.23,0.37,0.45,0.32
0.31,0.03,-0.19,0.05,0.83,0.86,0.59,1.00,0.59,0.64,0.49,0.36
0.13,0.06,-0.35,0.44,0.54,0.37,0.23,0.59,1.00,0.83,0.60,0.56
-0.04,-0.33,-0.67,-0.04,0.66,0.62,0.37,0.64,0.83,1.00,0.92,0.89
-0.09,-0.42,-0.68,-0.21,0.55,0.57,0.45,0.49,0.60,0.92,1.00,0.98
-0.27,-0.53,-0.78,-0.28,0.39,0.42,0.32,0.36,0.56,0.89,0.98,1.00
