1.00,0.98,0.95,0.93,0.94,0.89,0.83,0.67,0.52,0.16,0.17,0.05
0.98,1.00,0.98,0.98,0.96,0.95,0.90,0.76,0.52,0.06,0.01,-0.12
0.95,0.98,1.00,0.98,0.98,0.94,0.90,0.81,0.48,-0.04,-0.04,-0.18
0.93,0.98,0.98,1.00,0.98,0.96,0.93,0.83,0.52,-0.01,-0.14,-0.24
0.94,0.96,0.98,0.98,1.00,0.95,0.91,0.82,0.55,0.04,-0.02,-0.17
0.89,0.95,0.94,0.96,0.95,1.00,0.98,0.91,0.67,0.16,-0.10,-0.35
0.83,0.90,0.90,0.93,0.91,0.98,1.00,0.95,0.75,0.20,-0.22,-0.49
0.67,0.76,0.81,0.83,0.82,0.91,0.95,1.00,0.75,0.14,-0.33,-0.66
0.52,0.52,0.48,0.52,0.55,0.67,0.75,0.75,1.00,0.74,0.04,-0.43
0.16,0.06,-0.04,-0.01,0.04,0.16,0.20,0.14,0.74,1.00,0.50,0.08
0.17,0.01,-0.04,-0.14,-0.02,-0.10,-0.22,-0.33,0.04,0.50,1.00,0.82
0.05,-0.12,-0.18,-0.24,-0.17,-0.35,-0.49,-0.66,-0.43,0.08,0.82,1.00
