1.00,0.92,0.95,0.78,0.71,0.67,0.80,0.43,-0.03,0.32,0.32,0.32
0.92,1.00,0.94,0.90,0.78,0.70,0.81,0.37,-0.18,0.12,0.37,0.28
0.95,0.94,1.00,0.87,0.76,0.75,0.84,0.37,-0.07,0.32,0.47,0.30
0.78,0.90,0.87,1.00,0.91,0.89,0.93,0.51,0.03,0.29,0.56,0.30
0.71,0.78,0.76,0.91,1.00,0.97,0.96,0.55,0.17,0.44,0.56,0.46
0.67,0.70,0.75,0.89,0.97,1.00,0.97,0.54,0.24,0.56,0.62,0.40
0.80,0.81,0.84,0.93,0.96,0.97,1.00,0.67,0.29,0.59,0.65,0.48
0.43,0.37,0.37,0.51,0.55,0.54,0.67,1.00,0.80,0.76,0.68,0.62
-0.03,-0.18,-0.07,0.03,0.17,0.24,0.29,0.80,1.00,0.84,0.64,0.66
0.32,0.12,0.32,0.29,0.44,0.56,0.59,0.76,0.84,1.00,0.73,0.57
0.32,0.37,0.47,0.56,0.56,0.62,0.65,0.68,0.64,0.73,1.00,0.71
0.32,0.28,0.30,0.30,0.46,0.40,0.48,0.62,0.66,0.57,0.71,1.00
